,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
282,,House,Apartment,770000,Yes,10,505,0,,None,,None,None,None,2,None,Good
283,,House,Apartment,129000,Yes,4,159,0,0,None,,None,None,None,2,None,To be done up
284,Grand Liège,House,Apartment,210000,Yes,4,159,0,0,None,,None,None,None,3,None,Good
285,Charleroi,House,Apartment,220000,Yes,3,210,1,,None,,None,None,None,2,None,Good
286,Grand Liège,House,Apartment,249000,Yes,5,230,0,0,None,,None,None,None,2,None,Good
287,,House,Apartment,365000,Yes,7,,0,0,None,,None,None,None,2,None,To be done up
288,,House,Apartment,420000,Yes,5,135,0,,None,,None,None,None,3,None,As new
289,,House,Apartment,475000,Yes,6,500,0,0,None,,None,None,None,2,None,
290,,House,Apartment,543500,Yes,4,,1,,None,1,None,None,None,,None,As new
291,,House,Apartment,685000,Yes,4,368,0,0,None,,None,None,None,3,None,As new
292,,House,Apartment,800000,Yes,5,350,0,0,None,,None,None,None,2,None,To renovate
293,,House,Apartment,949000,Yes,9,390,0,0,None,,None,None,None,4,None,To be done up
294,Grand Liège,House,Saint-Nicolas,From 216800 To 340200,No,,bedrooms,0,,None,,None,None,None,,None,
295,,House,Apartment,230000,Yes,4,225,0,0,None,,None,None,None,3,None,Just renovated
296,,House,Apartment,295000,Yes,2,180,0,0,None,,None,None,None,2,None,Just renovated
297,,House,Apartment,385000,Yes,4,221,1,,None,,None,None,None,2,None,To renovate
298,,House,Apartment,390000,Yes,3,200,1,,None,,None,None,None,2,None,Good
299,,House,Apartment,575000,Yes,3,420,0,,None,,None,None,None,2,None,To renovate
300,,House,Apartment,615000,Yes,,meters,1,0,None,,None,None,None,,None,As new
301,,House,Apartment,795000,Yes,,meters,1,0,None,,None,None,None,,None,As new
302,,House,Apartment,895000,Yes,,meters,0,,None,1,None,None,None,2,None,Good
303,,House,Apartment,2685000,Yes,10,648,1,,None,,None,None,None,3,None,As new
304,,House,Apartment,2685000,Yes,10,648,1,,None,,None,None,None,3,None,As new
