,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
284,,House,Town-house,395000,No,3,136,0,,None,,None,None,None,,None,As new
285,,House,Town-house,425000,No,3,193,0,0,None,,None,None,None,2,None,Good
286,,House,Town-house,179000,No,2,99,0,,None,,None,None,None,2,None,To renovate
287,,House,Town-house,235000,No,3,102,0,0,None,,None,None,None,2,None,Good
288,,House,Town-house,347000,No,3,,1,0,None,1,None,None,None,2,None,Good
289,,House,Town-house,199000,No,3,267,1,0,None,,None,None,None,3,None,Good
290,,House,Town-house,210000,No,3,94,1,,None,,None,None,None,2,None,Good
291,,House,Town-house,219999,No,3,186,0,0,None,,None,None,None,4,None,
292,,House,Town-house,265000,No,2,116,1,0,None,,None,None,None,3,None,As new
293,,House,Town-house,275000,No,3,160,0,0,None,1,None,None,None,2,None,To renovate
294,,House,Town-house,275000,No,3,160,0,0,None,1,None,None,None,2,None,To renovate
295,,House,Town-house,275000,No,3,160,0,0,None,1,None,None,None,2,None,To renovate
296,,House,Town-house,165000,No,3,,0,0,None,,None,None,None,3,None,To be done up
297,,House,Town-house,225000,No,3,,0,,None,,None,None,None,2,None,To be done up
298,,House,Town-house,268000,No,2,120,0,0,None,,None,None,None,,None,As new
299,,House,Town-house,284000,No,3,137,0,0,None,,None,None,None,2,None,Good
300,,House,Town-house,379500,No,2,180,1,0,None,,None,None,None,2,None,To be done up
301,Prince de liège,House,Town-house,395000,No,2,150,0,0,None,,None,None,None,,None,Good
302,,House,Town-house,165000,,3,120,0,,None,,None,None,None,2,None,To be done up
303,Seraing -Haut,House,Town-house,160000,No,2,110,0,,None,,None,None,None,3,None,To be done up
304,,House,Town-house,335000,,3,160,0,,None,,None,None,None,2,None,Good
305,,House,Town-house,435000,No,2,118,1,0,None,,None,None,None,3,None,Good
306,,House,Town-house,715000,Yes,4,240,0,0,None,,None,None,None,2,None,As new
307,,House,Town-house,280000,No,3,141,1,0,None,1,None,None,None,,None,Just renovated
308,,House,Town-house,269000,No,4,,0,0,None,1,None,None,None,,None,Good
309,,House,Town-house,270000,No,3,115,1,0,None,,None,None,None,2,None,As new
310,,House,Town-house,319000,No,3,170,1,,None,,None,None,None,2,None,
311,,House,Town-house,350000,,3,175,0,1,None,1,None,None,None,2,None,
312,,House,Town-house,290000,No,3,,0,0,None,,None,None,None,3,None,To be done up
313,,House,Town-house,349000,No,3,217,0,0,None,1,None,None,None,2,None,Good
314,,House,Town-house,399000,No,3,167,0,0,None,,None,None,None,,None,
315,,House,Town-house,248000,No,3,151,1,0,None,,None,None,None,2,None,Good
316,,House,Town-house,239900,No,5,236,1,0,None,,None,None,None,3,None,Good
317,,House,Town-house,125000,,2,,1,,None,,None,None,None,3,None,Good
318,,House,Town-house,245000,No,3,,0,,None,1,None,None,None,3,None,Good
319,,House,Town-house,249000,No,3,289,1,0,None,,None,None,None,4,None,Good
320,,House,Town-house,340000,No,4,,0,,None,1,None,None,None,2,None,To renovate
321,,House,Town-house,349000,No,3,315,0,,None,,None,None,None,3,None,Good
322,,House,Town-house,399000,No,3,134,1,0,None,,None,None,None,2,None,Good
323,,House,Town-house,440000,No,3,160,0,0,None,,None,None,None,3,None,Just renovated
324,,House,Town-house,500000,No,3,115,1,0,None,,None,None,None,3,None,Good
325,,House,Town-house,345000,No,3,215,0,0,None,1,None,None,None,2,None,Good
326,,House,Town-house,349000,No,4,217,1,0,None,,None,None,None,3,None,Good
327,,House,Town-house,399000,No,6,200,0,0,None,1,None,None,None,2,None,
328,,House,Town-house,449000,No,5,231,0,0,None,,None,None,None,2,None,As new
329,ULB Cimetière d'Ixelles,House,Town-house,880000,,4,295,1,0,None,,None,None,None,2,None,Good
330,,House,Town-house,329000,No,2,130,0,0,None,,None,None,None,,None,Good
331,,House,Town-house,200000,No,2,151,0,0,None,,None,None,None,2,None,As new
332,,House,Town-house,228000,No,2,,1,0,None,,None,None,None,2,None,
333,,House,Town-house,265000,No,2,,0,0,None,,None,None,None,2,None,To be done up
334,,House,Town-house,385000,No,2,210,1,0,None,,None,None,None,2,None,As new
335,,House,Town-house,285000,No,2,250,0,0,None,1,None,None,None,3,None,
336,,House,Town-house,198000,No,2,140,1,,None,,None,None,None,2,None,Good
337,,House,Town-house,260000,No,4,180,1,,None,,None,None,None,3,None,As new
338,,House,Town-house,355000,No,3,181,1,0,None,,None,None,None,2,None,
